OCC_CODE	OCC_TITLE	EDUCATIONLEVELID
40848	Advertising and Promotions Managers	UNDT
44501	Marketing Managers	UNDT
44866	Sales Managers	UNDT
48153	Public Relations and Fundraising Managers	UNDT
406090	Administrative Services Managers	UNDT
409743	Computer and Information Systems Managers	UNDT
413395	Financial Managers	UNDT
420700	Industrial Production Managers	UNDT
424353	Purchasing Managers	UNDT
428005	Transportation Storage and Distribution Managers	UNDT
442614	Compensation and Benefits Managers	UNDT
446267	Human Resources Managers	UNDT
449919	Training and Development Managers	UNDT
2598276	Farmers Ranchers and Other Agricultural Managers	UNDT
2601198	Construction Managers	UNDT
2604850	Education Administrators Preschool and Childcare Center/Program	UNDT
2605216	Education Administrators Elementary and Secondary School	UNDT
2605581	Education Administrators Postsecondary	UNDT
2607772	Education Administrators All Other	UNDT
2608503	Architectural and Engineering Managers	UNDT
2612155	Food Service Managers	UNDT
2615808	Funeral Service Managers	UNDT
2619460	Gaming Managers	UNDT
2623113	Lodging Managers	UNDT
2634069	Medical and Health Services Managers	UNDT
2637722	Natural Sciences Managers	UNDT
2641374	Postmasters and Mail Superintendents	UNDT
2645027	Property Real Estate and Community Association Managers	UNDT
2648679	Social and Community Service Managers	UNDT
2652332	Emergency Management Directors	UNDT
2666211	Managers All Other	UNDT
00-0000	All Occupations	UNDT
11-0000	Management Occupations	UNDT
11-1011	Chief Executives	BACH
11-1021	General and Operations Managers	BACH
11-1031	Legislators	BACH
13-0000	Business and Financial Operations Occupations	UNDT
13-1011	Agents and Business Managers of Artists Performers and Athletes	BACH
13-1021	Buyers and Purchasing Agents Farm Products	BACH
13-1022	Wholesale and Retail Buyers Except Farm Products	BACH
13-1023	Purchasing Agents Except Wholesale Retail and Farm Products	BACH
13-1031	Claims Adjusters Examiners and Investigators	HIGH
13-1032	Insurance Appraisers Auto Damage	SCND
13-1041	Compliance Officers	BACH
13-1051	Cost Estimators	BACH
13-1071	Human Resources Specialists	BACH
13-1074	Farm Labor Contractors	NONE
13-1075	Labor Relations Specialists	BACH
13-1081	Logisticians	BACH
13-1111	Management Analysts	BACH
13-1121	Meeting Convention and Event Planners	BACH
13-1131	Fundraisers	BACH
13-1141	Compensation Benefits and Job Analysis Specialists	BACH
13-1151	Training and Development Specialists	BACH
13-1161	Market Research Analysts and Marketing Specialists	BACH
13-1199	Business Operations Specialists All Other	BACH
13-2011	Accountants and Auditors	BACH
13-2021	Appraisers and Assessors of Real Estate	BACH
13-2031	Budget Analysts	BACH
13-2041	Credit Analysts	BACH
13-2051	Financial Analysts	BACH
13-2052	Personal Financial Advisors	BACH
13-2053	Insurance Underwriters	BACH
13-2061	Financial Examiners	BACH
13-2071	Credit Counselors	BACH
13-2072	Loan Officers	BACH
13-2081	Tax Examiners and Collectors and Revenue Agents	BACH
13-2082	Tax Preparers	HIGH
13-2099	Financial Specialists All Other	BACH
15-0000	Computer and Mathematical Occupations	UNDT
15-1111	Computer and Information Research Scientists	MSTR
15-1121	Computer Systems Analysts	BACH
15-1122	Information Security Analysts	BACH
15-1131	Computer Programmers	BACH
15-1132	Software Developers Applications	BACH
15-1133	Software Developers Systems Software	BACH
15-1134	Web Developers	ASSC
15-1141	Database Administrators	BACH
15-1142	Network and Computer Systems Administrators	BACH
15-1143	Computer Network Architects	BACH
15-1151	Computer User Support Specialists	SCND
15-1152	Computer Network Support Specialists	ASSC
15-1199	Computer Occupations All Other	BACH
15-2011	Actuaries	BACH
15-2021	Mathematicians	MSTR
15-2031	Operations Research Analysts	BACH
